Name,Team,Games Played,Kicks,Handballs,Disposals,Marks,Goals,Behinds,Tackles,Hitouts,Inside 50s,Goal Assists,Contested Possessions,Uncontested Possessions,Effective Disposals,Disposal Efficiency,Clangers,Contested Marks,Marks Inside 50,Clearances,Centre Clearances,Stoppage Clearances,Rebound 50s,One Percenters,Bounces,Metres Gained,Score Involvements,Turnovers,Intercepts,Tackles Inside 50,Time On Ground
Touk Miller,Gold Coast,18,10.17,12.17,22.33,4.5,0.22,0.17,5.78,0.0,2.67,0.33,10.72,12.11,16.11,72.15,3.44,0.11,0.06,4.22,1.5,2.72,1.72,1.22,0.06,278.89,3.67,4.0,2.44,1.11,81.94
Will Setterfield,Carlton,18,10.17,6.33,16.5,3.22,0.33,0.67,3.11,0.0,3.0,0.39,5.39,11.56,10.22,61.94,2.89,0.11,0.39,1.5,0.28,1.22,1.17,1.17,0.17,282.22,3.89,3.78,2.28,0.78,78.56
Billy Stretch,Melbourne,9,10.11,7.22,17.33,4.0,0.22,0.11,3.0,0.0,2.22,0.11,5.33,12.22,13.33,76.92,1.56,0.0,0.22,1.44,0.11,1.33,1.44,1.22,0.44,256.78,3.67,2.22,2.0,0.78,76.0
Aliir Aliir,Sydney,22,10.09,5.64,15.73,4.73,0.05,0.0,2.0,4.18,1.77,0.23,6.5,8.86,11.77,74.83,3.32,0.86,0.14,1.5,0.82,0.68,2.95,5.41,0.0,264.41,2.41,3.14,6.77,0.09,87.18
Callum Wilkie,St Kilda,22,10.09,4.73,14.82,5.14,0.0,0.0,1.91,0.05,0.86,0.05,4.73,8.59,12.41,83.74,1.95,0.95,0.0,0.18,0.0,0.18,3.41,3.77,0.09,220.68,1.82,2.5,5.91,0.0,88.91
Charlie Ballard,Gold Coast,21,10.0,3.0,13.0,5.29,0.0,0.05,1.1,0.0,0.67,0.1,4.38,8.0,9.62,74.0,2.38,1.05,0.0,0.05,0.0,0.05,3.33,4.95,0.05,207.76,1.29,2.33,6.48,0.0,88.71
Jack Viney,Melbourne,21,10.0,11.19,21.19,3.24,0.19,0.19,5.24,0.0,3.67,0.38,9.14,12.0,15.0,70.79,3.24,0.14,0.24,4.33,1.86,2.48,0.71,1.05,0.05,289.43,3.67,3.95,2.38,0.52,73.38
Cameron Ellis-Yolmen,Adelaide,10,10.0,13.5,23.5,2.9,0.2,0.2,5.6,0.0,2.3,0.7,12.2,11.6,16.3,69.36,2.7,0.1,0.2,4.8,1.4,3.4,1.3,2.3,0.1,233.6,5.6,3.7,2.2,1.0,77.0
Nicholas Coffield,St Kilda,8,10.0,4.88,14.88,5.75,0.0,0.0,1.12,0.0,0.88,0.0,4.25,10.12,11.75,78.97,1.75,0.62,0.0,0.12,0.0,0.12,2.88,1.88,0.0,161.38,1.5,2.0,5.12,0.0,76.75
Shane Edwards,Richmond,24,9.96,11.96,21.92,3.29,0.29,0.08,3.12,0.0,2.71,0.46,9.79,11.54,16.21,73.95,3.58,0.33,0.08,3.58,1.42,2.17,2.46,1.88,0.17,320.54,4.83,3.0,5.38,0.25,81.58
Darcy Gardiner,Brisbane,24,9.96,3.62,13.58,4.67,0.04,0.0,2.21,0.0,1.04,0.17,5.21,8.38,10.54,77.61,2.58,0.42,0.04,0.29,0.0,0.29,3.29,5.0,0.0,206.42,2.25,2.58,6.12,0.0,88.38
Jacob Weitering,Carlton,20,9.95,3.3,13.25,5.7,0.0,0.0,1.4,0.0,0.85,0.0,5.35,7.7,10.25,77.36,2.35,1.45,0.0,0.2,0.0,0.2,3.7,6.95,0.0,220.15,1.25,2.55,7.1,0.0,94.35
Brad Ebert,Port Adelaide,11,9.91,5.73,15.64,4.82,1.18,1.0,4.64,0.0,3.27,0.36,5.73,10.0,10.0,63.94,2.82,0.91,1.18,1.09,0.27,0.82,0.36,2.27,0.27,256.18,4.45,3.09,1.64,1.73,79.91
Rowan Marshall,St Kilda,20,9.9,7.85,17.75,4.15,0.4,0.1,3.55,28.4,3.3,0.3,11.25,7.2,12.55,70.7,3.25,1.05,0.45,5.5,1.95,3.55,1.2,2.55,0.0,254.95,4.8,2.8,3.15,0.15,86.15
Mitchell Wallis,Western Bulldogs,10,9.9,11.9,21.8,3.6,0.8,0.5,2.7,0.0,4.0,0.2,8.8,13.9,16.9,77.52,3.0,0.3,0.9,4.2,1.9,2.3,0.8,1.1,0.0,276.9,5.8,4.4,1.6,0.5,78.8
Robbie Gray,Port Adelaide,19,9.89,12.21,22.11,3.74,1.26,0.74,2.21,0.0,3.47,0.68,10.74,11.63,14.21,64.27,3.26,0.47,1.26,4.16,1.53,2.63,0.58,1.21,0.37,261.58,6.21,3.84,2.11,0.42,83.0
Cale Hooker,Essendon,18,9.89,7.5,17.39,7.56,0.22,0.11,0.83,0.11,0.5,0.06,6.67,10.11,12.89,74.12,2.72,1.78,0.39,0.17,0.0,0.17,4.28,6.56,0.11,239.83,2.5,3.5,7.06,0.11,88.89
Jackson Thurlow,Sydney,9,9.89,4.67,14.56,4.11,0.0,0.0,2.33,0.0,1.33,0.44,4.33,10.11,9.78,67.17,3.11,0.0,0.0,0.33,0.0,0.33,4.33,3.67,0.0,257.33,3.0,4.22,4.56,0.11,70.33
Brodie Grundy,Collingwood,24,9.88,11.46,21.33,4.38,0.29,0.46,4.33,42.62,2.08,0.17,13.71,8.5,14.46,67.79,4.25,1.21,0.17,6.08,2.12,3.96,1.17,2.71,0.17,181.58,6.42,3.04,2.88,0.5,89.12
Chris Masten,West Coast,17,9.88,6.71,16.59,5.47,0.18,0.06,1.76,0.06,1.53,0.24,4.0,12.88,12.76,76.91,1.88,0.18,0.06,0.59,0.06,0.53,2.53,1.35,0.0,194.82,3.41,2.76,3.35,0.12,86.65
Tom Clurey,Port Adelaide,21,9.86,3.24,13.1,5.62,0.0,0.0,1.71,0.0,0.76,0.1,4.33,8.0,10.67,81.45,1.38,1.19,0.0,0.0,0.0,0.0,3.43,7.33,0.33,193.14,1.57,2.05,6.52,0.0,93.29
Sam Powell-Pepper,Port Adelaide,19,9.84,9.0,18.84,2.58,0.53,0.95,4.89,0.0,4.47,0.05,8.37,11.32,12.42,65.92,3.42,0.32,0.47,3.0,1.42,1.58,0.74,1.63,0.68,351.74,5.42,4.05,1.89,0.79,80.84
Josh Caddy,Richmond,18,9.83,6.44,16.28,3.56,0.94,0.5,3.33,0.0,3.22,0.67,6.83,9.17,10.61,65.17,2.5,0.17,0.56,1.61,0.39,1.22,0.94,1.78,0.39,275.78,4.89,3.39,2.94,0.5,85.5
Quinton Narkle,Geelong,6,9.83,7.33,17.17,2.33,0.83,0.67,3.17,0.0,2.83,0.5,6.83,10.33,11.83,68.9,1.67,0.0,0.5,3.5,0.83,2.67,1.33,0.83,0.33,291.17,5.5,3.0,0.67,0.67,64.17
Patrick Lipinski,Western Bulldogs,14,9.79,12.14,21.93,4.64,0.79,0.29,3.57,0.0,2.79,1.0,6.14,15.86,16.36,74.6,2.79,0.0,0.64,2.29,0.57,1.71,0.93,1.14,0.07,251.07,6.5,3.29,1.57,0.43,76.43
Jack Lonie,St Kilda,13,9.77,3.85,13.62,3.85,1.0,1.46,2.54,0.0,2.08,0.23,5.0,9.0,8.23,60.43,1.85,0.08,1.0,0.62,0.15,0.46,0.62,1.08,0.0,229.0,4.69,2.54,1.38,1.31,74.54
Jack Steele,St Kilda,20,9.75,12.15,21.9,4.0,0.15,0.3,8.2,0.0,2.8,0.5,9.55,12.8,16.2,73.97,3.25,0.15,0.3,4.3,1.3,3.0,1.7,1.8,0.05,262.75,4.5,3.5,3.2,0.95,84.35
Jake Kelly,Adelaide,22,9.73,6.45,16.18,5.18,0.0,0.05,2.73,0.0,0.86,0.14,5.09,10.91,13.14,81.21,1.91,0.64,0.0,0.32,0.0,0.32,2.36,4.77,0.0,190.23,2.27,2.68,5.77,0.0,85.23
Shaun Burgoyne,Hawthorn,18,9.72,6.5,16.22,4.28,0.39,0.17,3.67,0.0,2.39,0.33,5.61,9.56,12.72,78.42,1.83,0.56,0.28,1.17,0.5,0.67,2.67,3.06,0.17,255.17,3.61,2.56,3.83,0.22,76.0
Jordan Lewis,Melbourne,12,9.67,6.42,16.08,3.42,0.5,0.25,1.92,0.0,2.0,0.42,4.17,10.5,12.5,77.74,1.75,0.08,0.25,1.5,0.58,0.92,0.83,1.58,0.0,214.58,4.0,2.42,2.0,0.17,84.25
Christian Petracca,Melbourne,22,9.64,9.09,18.73,4.05,1.0,0.64,2.95,0.23,3.64,0.73,9.55,9.73,12.86,68.66,2.91,0.68,1.05,2.36,0.59,1.77,0.23,1.05,0.0,289.27,6.05,4.55,1.82,1.23,87.95
